#Total_Population,Sewer_Length
14954,56
33340,135
26209,159
13092,16
31211,150
11426,33
15399,71
16400,22
13129,32
18456,115
8606,17
25466,141
107341,566
43685,180
8045,15
133865,570
29740,67
95488,545
14809,30
16053,40
13329,47
19148,87
23825,83
14356,91
332333,1481
71809,260
10764,24
17833,1
11819,63
19167,91
83816,274
12797,76
16450,100
246540,635
24145,137
3876,18
18837,74
17117,92
47842,258
20580,77
3127,27
20947,130
18741,3
1948626,6426
5030,15
41038,143
5983,41
5552,12
13981,28
17316,65
102004,542
7696,10
4906,11
10453,41
2699,11
258248,1258
5993,5
92216,431
13685,35
28808,124
33310,179
3784,9
12217,31
182644,874
7594,23
37527,329
31644,49
55131,303
13282,37
32940,148
11121,19
15251,39
13782,34
61088,305
11385,32
6549,26
6109,48
29070,49
13965,34
31935,58
8240,27
5303,5
39322,164
13742,75
35027,162
21230,138
9500,58
11196,24
12638,60
12009,59
7041,54
48410,129
32139,109
23242,156
4819,34
575377,1968
4744,4
13663,31
13014,83
23100,71
34515,164
27315,45
16642,36
13510,23
53495,158
35804,210
8814,20
10336,34
430157,1867
14387,51
18107,79
35219,446
46574,104
12042,8
16446,49
3434,6
10299,47
27984,126
11507,16
13200,102
5826,16
21960,66
41773,190
51755,152
33994,93
12960,22
32121,212
14023,78
11580,48
156174,582
88922,563
83843,431
6160,10
133490,533
32559,47
25617,79
114970,504
29994,112
355336,1620
27915,417
12748,78
4874,22
2556,31
3780,21
5095,31
5351,19
11130,48
52513,179
7477,19
23911,137
34409,114
19221,17
16950,98
14946,46
6787,25
26825,110
8069,19
10645,28
12948,53
15336,49
34411,142
67383,242
9622,41
4689,18
4898,17
14872,51
3293,20
7751,16
12186,63
26767,90
8523,81
11622,49
4954,16
23699,110
46251,213
20261,73
5416,25
10181,36
5837,47
10056,52
15241,10
5543,29
329058,898
46705,139
27576,112
11046,24
5750,24
6722,18
97803,180
19385,47
5216,19
16413,169
21249,79
15040,26
16345,99
12567,31
79792,275
17200,75
16924,97
17522,96
20607,62
142645,742
7807,29
12038,41
8533,7
13095,4
20909,73
112500,738
57913,90
11273,53
12088,21
8454,42
19386,86
5630,30
207044,271
11901,22
134293,130
34477,55
30593,31
100764,146
184833,1167
513118,418
37203,125
230378,49
15514,70
511168,1018
20168,100
16586,35
45041,61
22041,24
924624,675
28837,10
242543,120
134819,100
15299,15
23222,71
7326,9
261501,709
5623,7
246433,35
164504,23
18648,35
176569,179
25581,148
27154,60
15311,60
162693,190
515317,795
191158,439
823302,1177
52683,61
27858,106
306678,290
25364,49
29545,28
18960,4
19974,49
14435,29
151335,132
25126,48
132312,421
60573,206
18605,19
155193,227
6747815,6926
10392,6
42594,400
38710,108
1091737,721
36423,62
472906,350
21916,75
106049,59
18249,32
90583,60
83092,53
21774,24
15667,15
34610,40
10640,2
82142,520
37083,29
273988,906
11121,33
11029,11
13553,34
4710,10
14728,2
7154,4
14417,6
3715,4
68343,59
11291,4
10867,12
73886,43
11181,19
7983,35
44905,46
7072,15
10484,6
9786,39
26669,12
9238,13
14942,8
12396,50
35160,24
5946,2
18315,24
15749,18
11344,8
4763,5
4025,8
81821,17
32039,23
22576,3
300618,255
890480,665
27938,2
37450,22
4244,7
4813,10
5272,7
21545,65
267036,69
13474,6
30600,20
6653,15
14844,4
15272,18
3614,10
8220,11
2689,9
24280,7
4495,6
3595,25
103672,73
6207,23
44236,9
12879,4
4665,10
10362,20
17720,10
8192,23
11053,12
10522,6
8092,21
5561,3
14440,23
2421,4
33503,6
14800,19
14106,43
109523,9
6269,10
85893,104
16204,102
32695,8
46556,13
130009,42
20489,10
36881,8
539354,70
18571,26
55407,19
419652,979
12557,9
22283,51
12296,8
18172,18
30782,20
73028,73
211352,250
18238,3
121335,321
6202,3
4227,8
121803,5
33548,7
81869,175
131240,410
3395,2
5398,21
9647,85
45488,36
56211,56
348208,766
1641,6
54051,85
30241,119
8701,4
517451,1840
16583,34
3838,4
59922,59
38339,32
1975,4
41902,19
25960,3
15591,14
50672,8
83279,248
34399,57
31498,6
35440,72
8204,22
36555,48
283620,618
98239,115
25968,105
6814,11
19389,4
37340,4
83764,45
7141,9
1881,12
24690,8
26500,40
6461,5
85033,10
2566,120
2702,3
44858,150
4961,2
21875,2
4222,6
247032,74
46414,52
204722,333
343132,489
2580,4
4329,18
4899,2
12195,30
1488252,2050
22607,68
1856,5
15744,35
211965,199
5080,5
39314,39
12481,18
131365,162
283677,636
8067,14
76321,101
73575,98
1726,4
49360,8
77568,68
60019,63
18205,10
62147,29
2543,6
3543,6
238648,134
33293,60
23555,900
8732,25
80037,2
141808,44
24552,3
10577,5
17332,5
39064,168
52632,57
2669,4
23852,2
4577,5
4939,1
126866,246
71973,20
27099,47
26533,120
256302,230
2080,3
4277,12
16775,49
2548,12
39524,5
68867,65
3549,4
145796,310
361855,384
20335,19
4772,5
33876,35
36556,133
54480,51
2496,2
23035,25
10984,27
224013,242
75167,4
4520,2
217311,158
15545,58
4418,15
10649,1800
508826,712
27211,35
36584,23
2791,6
70793,5
11577,21
22714,67
1954,8
57247,48
14359,4
45286,10
70900,20
6129,14
223112,164
67338,182
17007,193
25355,18
181173,605
30404,89
597658,678
157349,197
46122,102
15313,31
5684,34
4218,2
23038,66
18975,25
7272,2
175272,98
3596,7
34010,11
3420,6
11634,14
35543,25
7312,28
2887,9
42495,185
7659,50
23579,50
85421,181
9434,19
27139,33
250181,99
24291,2
13650,54
30733,68
2423,10
39155,65
7991,21
4525,2
12990,10
21344,14
53610,1
664908,1124
30930,80
18218,3
3998,7
69556,10
11601,10
96142,60
42166,54
105221,25
6961,23
